Anomaly_Key,Chapter_Key,Chapter_Code,Chapter_Name,Year_Month,Year_Num,Month_Num,Full_Date,Trade_Type,Total_Value,Baseline_Mean,Baseline_Std,Z_Score,Pct_Change,Anomaly_Type,AI_Explanation,AI_Sources,Detected_At
8589934629,2,02,Meat and edible meat offal,199007,1990,7,1990-07-01,Export,107788982.0,81196733.83333333,6182236.486536192,4.3,0.3275,SPIKE,,,2026-03-27 02:19:48.108106
166,7,07,Vegetables and certain roots and tubers; edible,199007,1990,7,1990-07-01,Export,15520516.0,35938293.5,7633136.677315657,-2.67,-0.5681,DROP,,,2026-03-27 02:19:48.108106
200,7,07,Vegetables and certain roots and tubers; edible,199007,1990,7,1990-07-01,Import,56605261.0,85200618.0,4382658.7836028,-6.52,-0.3356,DROP,,,2026-03-27 02:19:48.108106
8589935521,36,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,199007,1990,7,1990-07-01,Import,7413895.0,3458794.8333333335,460207.2652792073,8.59,1.1435,SPIKE,,,2026-03-27 02:19:48.108106
8589935910,54,54,Man-made filaments; strip and the like of man-made textile materials,199007,1990,7,1990-07-01,Import,27988561.0,42641330.666666664,3316042.9563219873,-4.42,-0.3436,DROP,,,2026-03-27 02:19:48.108106
8589936023,61,61,Apparel and clothing accessories; knitted or crocheted,199007,1990,7,1990-07-01,Import,114340735.0,77973949.83333333,17662066.68107815,2.06,0.4664,SPIKE,,,2026-03-27 02:19:48.108106
8589936238,66,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",199007,1990,7,1990-07-01,Import,1102905.0,2341707.8333333335,601735.2578479731,-2.06,-0.529,DROP,,,2026-03-27 02:19:48.108106
8589936477,75,75,Nickel and articles thereof,199007,1990,7,1990-07-01,Export,44834800.0,140228292.66666666,26268946.59354572,-3.63,-0.6803,DROP,,,2026-03-27 02:19:48.108106
8589936598,79,79,Zinc and articles thereof,199007,1990,7,1990-07-01,Import,7942281.0,3120148.0,1950189.966280926,2.47,1.5455,SPIKE,,,2026-03-27 02:19:48.108106
8589936763,87,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",199007,1990,7,1990-07-01,Import,1575253854.0,2484225905.1666665,424638893.3247505,-2.14,-0.3659,DROP,,,2026-03-27 02:19:48.108106
8589936778,88,88,"Aircraft, spacecraft, and parts thereof",199007,1990,7,1990-07-01,Import,121446787.0,223415656.83333334,36378976.3033044,-2.8,-0.4564,DROP,,,2026-03-27 02:19:48.108106
1682,97,97,Works of art; collectors' pieces and antiques,199007,1990,7,1990-07-01,Import,40234561.0,20426326.166666668,2907881.87684668,6.81,0.9697,SPIKE,,,2026-03-27 02:19:48.108106
41,3,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",199008,1990,8,1990-08-01,Import,49941366.0,37705292.85714286,2737580.718039891,4.47,0.3245,SPIKE,,,2026-03-27 02:19:48.108106
8589934645,3,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",199008,1990,8,1990-08-01,Export,272192447.0,175427056.57142857,45840894.96370426,2.11,0.5516,SPIKE,,,2026-03-27 02:19:48.108106
201,7,07,Vegetables and certain roots and tubers; edible,199008,1990,8,1990-08-01,Import,33976125.0,81115567.0,11524751.915744187,-4.09,-0.5811,DROP,,,2026-03-27 02:19:48.108106
8589934710,8,08,"Fruit and nuts, edible; peel of citrus fruit or melons",199008,1990,8,1990-08-01,Export,13545594.0,5999214.285714285,1870674.2004328026,4.03,1.2579,SPIKE,,,2026-03-27 02:19:48.108106
259,10,10,Cereals,199008,1990,8,1990-08-01,Import,24129584.0,13242416.0,1344737.2308386746,8.1,0.8221,SPIKE,,,2026-03-27 02:19:48.108106
8589934857,13,13,"Lac; gums, resins and other vegetable saps and extracts",199008,1990,8,1990-08-01,Export,376753.0,201034.42857142858,85773.45163055435,2.05,0.8741,SPIKE,,,2026-03-27 02:19:48.108106
449,18,18,Cocoa and cocoa preparations,199008,1990,8,1990-08-01,Import,29279377.0,19960654.714285713,2587994.169859592,3.6,0.4669,SPIKE,,,2026-03-27 02:19:48.108106
8589935071,22,22,"Beverages, spirits and vinegar",199008,1990,8,1990-08-01,Import,86058866.0,51418618.571428575,14004795.825480059,2.47,0.6737,SPIKE,,,2026-03-27 02:19:48.108106
8589935642,42,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",199008,1990,8,1990-08-01,Import,55457810.0,41620036.571428575,6316766.078507601,2.19,0.3325,SPIKE,,,2026-03-27 02:19:48.108106
8589935769,50,50,Silk,199008,1990,8,1990-08-01,Import,4333784.0,3178779.0,527616.0057011158,2.19,0.3633,SPIKE,,,2026-03-27 02:19:48.108106
1012,57,57,Carpets and other textile floor coverings,199008,1990,8,1990-08-01,Export,4592205.0,8168057.571428572,1582576.3901561333,-2.26,-0.4378,DROP,,,2026-03-27 02:19:48.108106
8589936062,62,62,Apparel and clothing accessories; not knitted or crocheted,199008,1990,8,1990-08-01,Export,15935729.0,9653809.285714285,2225291.8620430976,2.82,0.6507,SPIKE,,,2026-03-27 02:19:48.108106
